antecedents,consequents,support,confidence,lift,ant_class,con_class
1JT1XB,"2T1DJM, KUFVRI",0.009921828021647625,0.24264705882352944,7.835379782981154,B,mixed
"2T1DJM, KUFVRI",1JT1XB,0.009921828021647625,0.32038834951456313,7.835379782981154,mixed,B
"0LNUOV, 7BU1V7",XUZJ74,0.0046602525556223694,0.6458333333333334,7.803966091432032,mixed,C
"7BU1V7, TNAHD4",AKP0A7,0.0042844257366205655,0.5,7.798358733880422,mixed,A
"J3FI7N, AKP0A7",KTDZY0,0.004359591100420926,0.6904761904761905,7.791429379215638,mixed,B
7BU1V7,"2T1DJM, SMMRK3",0.008042693926638604,0.15155807365439092,7.7850525555907995,C,mixed
"2T1DJM, SMMRK3",7BU1V7,0.008042693926638604,0.41312741312741313,7.7850525555907995,mixed,C
"KTDZY0, 1JT1XB",KUFVRI,0.006313890559230307,0.7777777777777778,7.780116959064327,mixed,B
"O9YFO8, I1KDJ0",W25EZN,0.004134095009019844,0.48672566371681425,7.727205525165271,mixed,C
"WGHG3L, KTDZY0",IA7X1P,0.004434756464221287,0.38562091503267976,7.7263564060162215,mixed,C
"KTDZY0, TNAHD4",IA7X1P,0.0042844257366205655,0.38513513513513514,7.71662324975578,mixed,C
"8N10W9, 5P2MVG",W25EZN,0.00473541791942273,0.48461538461538456,7.6937029557554615,mixed,C
"IA7X1P, 7BU1V7",W25EZN,0.005862898376428142,0.484472049689441,7.691427385523059,mixed,C
"2T1DJM, 1JT1XB",1ENECA,0.006389055923030668,0.467032967032967,7.689859645305189,mixed,A
1ENECA,"2T1DJM, 1JT1XB",0.006389055923030668,0.1051980198019802,7.689859645305189,A,mixed
O9YFO8,"KTDZY0, I1KDJ0",0.004058929645219483,0.16564417177914112,7.678501955922277,A,mixed
